Order_ID,Product_Name,Category,Quantity_Sold,Price,Sales_Amount,Order_Date,Region
ORD-000001,Wireless Mouse,Electronics,2.0,401.34,802.68,2023-10-09,North
ORD-000002,Dumbbells Set,Sports,1.0,2146.49,2146.49,2024-08-27,North
ORD-000003,Yoga Mat,Sports,1.0,939.42,939.42,2024-07-28,East
ORD-000004,Sunglasses,Clothing,1.0,887.52,887.52,2024-08-26,West
ORD-000005,Sneakers,Clothing,3.0,1828.27,5484.81,2023-12-15,West
ORD-000006,USB Keyboard,Electronics,2.0,717.76,1435.52,2024-01-25,East
ORD-000007,Headphones,Electronics,1.0,1690.03,1690.03,2024-07-03,North
ORD-000008,Blender,Home & Kitchen,1.0,1653.78,1653.78,2024-08-14,West
ORD-000009,Coffee Maker,Home & Kitchen,1.0,2409.13,2409.13,2023-08-27,East
ORD-000010,Air Purifier,Home & Kitchen,1.0,5254.21,5254.21,2024-01-15,West
ORD-000011,HD Webcam,Electronics,1.0,1078.82,1078.82,2024-06-30,South
ORD-000012,Football,Sports,1.0,863.31,863.31,2024-12-02,North
ORD-000013,USB-C Cable,Electronics,2.0,181.75,363.5,2024-02-15,Central
ORD-000014,Desk Lamp,Home & Kitchen,3.0,668.13,2004.39,2024-11-02,West
ORD-000015,Formal Shirt,Clothing,1.0,915.55,915.55,2023-05-23,South
ORD-000016,Water Bottle Sport,Sports,1.0,319.61,319.61,2024-08-20,Central
ORD-000017,Jump Rope,Sports,1.0,331.39,331.39,2023-04-04,North
ORD-000018,Sneakers,Clothing,3.0,1928.01,5784.03,2024-09-02,Central
ORD-000019,Resistance Bands,Sports,1.0,340.52,340.52,2024-07-20,West
ORD-000020,Resistance Bands,Sports,1.0,374.28,374.28,2024-10-18,North
ORD-000021,Power Bank 10000mAh,Electronics,1.0,901.07,901.07,2024-05-27,North
ORD-000022,Desk Lamp,Home & Kitchen,3.0,538.18,1614.54,2023-06-06,Central
ORD-000023,Yoga Mat,Sports,2.0,769.4,1538.8,2024-09-05,Central
ORD-000024,Desk Lamp,Home & Kitchen,6.0,611.1,3666.6,2023-03-01,North
ORD-000025,Data Science Guide,Books,1.0,709.93,709.93,2024-06-29,East
ORD-000026,Cricket Bat,Sports,1.0,1546.94,1546.94,2023-09-29,Central
ORD-000027,Football,Sports,1.0,917.69,917.69,2024-12-31,West
ORD-000028,Cloud Computing,Books,1.0,651.04,651.04,2023-05-04,North
ORD-000029,Football,Sports,1.0,696.17,696.17,2024-08-25,West
ORD-000030,Denim Jeans,Clothing,1.0,1131.76,1131.76,2023-02-02,North
ORD-000031,Web Development,Books,1.0,790.33,790.33,2024-07-06,East
ORD-000032,Web Development,Books,2.0,634.08,1268.16,2024-04-29,North
ORD-000033,AI Foundations,Books,1.0,1108.04,1108.04,2024-03-09,North
ORD-000034,Wireless Mouse,Electronics,4.0,490.58,1962.32,2024-02-17,North
ORD-000035,Winter Jacket,Clothing,1.0,3417.0,3417.0,2024-07-03,South
ORD-000036,Denim Jeans,Clothing,1.0,1437.72,1437.72,2024-03-29,North
ORD-000037,Yoga Mat,Sports,2.0,993.04,1986.08,2023-04-06,North
ORD-000038,Cloud Computing,Books,1.0,839.43,839.43,2023-08-07,North
ORD-000039,Laptop Stand,Electronics,1.0,1194.09,1194.09,2023-09-29,South
ORD-000040,Jump Rope,Sports,4.0,273.68,1094.72,2023-06-08,North
ORD-000041,Yoga Mat,Sports,1.0,921.7,921.7,2023-11-18,East
ORD-000042,Cricket Bat,Sports,3.0,1310.18,3930.54,2023-02-28,North
ORD-000043,Dumbbells Set,Sports,1.0,2426.86,2426.86,2024-11-22,Central
ORD-000044,Football,Sports,1.0,827.62,827.62,2024-08-15,South
ORD-000045,Gym Gloves,Sports,1.0,531.36,531.36,2023-09-25,North
ORD-000046,Machine Learning,Books,1.0,887.46,887.46,2024-11-18,Central
ORD-000047,Wireless Mouse,Electronics,1.0,458.5,458.5,2024-04-14,North
ORD-000048,Football,Sports,2.0,902.85,1805.7,2024-06-02,Central
ORD-000049,Sports Shorts,Clothing,2.0,768.99,1537.98,2023-10-19,West
ORD-000050,Yoga Mat,Sports,1.0,844.89,844.89,2024-11-14,West
